Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
All the President's Men (1976),8.0,Won 4 Oscars,17 wins & 21 nominations total,Alan J. Pakula,"$70,600,000",PG,274,157,111K
The Lion in Winter (1968),7.9,Won 3 Oscars,15 wins & 18 nominations total,Anthony Harvey,"$18,177",PG,197,72,31K
Barry Lyndon (1975),8.1,Won 4 Oscars,19 wins & 15 nominations total,Stanley Kubrick,"$198,992",PG,506,116,160K
Rain Man (1988),8.0,Won 4 Oscars,26 wins & 23 nominations total,Barry Levinson,"$354,825,435",R,490,102,493K
"Lock, Stock and Two Smoking Barrels (1998)",8.2,Awards,13 wins & 9 nominations total,Guy Ritchie,"$3,753,929",R,621,119,559K
The Great Escape (1963),8.2,Nominated for 1 Oscar,3 wins & 11 nominations total,John Sturges,"$228,178",Approved,397,119,236K
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.0,Nominated for 5 Oscars,38 wins & 104 nominations total,Gore Verbinski,"$654,264,015",PG-13,2.2K,190,1.1M
Reservoir Dogs (1992),8.3,Awards,12 wins & 23 nominations,Quentin Tarantino,"$2,913,644",R,1.2K,198,967K
Rush (2013),8.1,Awards,6 wins & 65 nominations total,Ron Howard,"$96,983,009",R,629,428,457K
The Last Seduction (1994),7.1,Awards,9 wins & 10 nominations total,John Dahl,"$5,842,603",R,151,83,23K
Shrek (2001),7.9,Won 1 Oscar,40 wins & 60 nominations total,Andrew Adamson,"May 20, 2001",PG,1.1K,176,644K
The Thing (1982),8.1,Awards,3 nominations,John Carpenter,"$19,632,053",R,1.2K,374,398K
Stalag 17 (1953),8.0,Won 1 Oscar,2 wins & 6 nominations total,Billy Wilder,"$1,661,530 (estimated)",Not Rated,171,104,54K
Some Like It Hot (1959),8.2,Won 1 Oscar,15 wins & 15 nominations total,Billy Wilder,"$195,088",Passed,467,231,256K
Boksuneun naui geot (2002),7.6,Awards,7 wins & 5 nominations,Park Chan-Wook,"$2,046,061",R,154,154,66K
